date,open,high,low,close,volume,source
2024-08-26,2509.89990234375,2523.10009765625,2509.10009765625,2517.699951171875,290.0,yfinance
2024-08-27,2515.199951171875,2523.10009765625,2506.89990234375,2516.0,100.0,yfinance
2024-08-28,2501.0,2501.0,2501.0,2501.0,2353.0,yfinance
2024-08-29,2504.10009765625,2525.699951171875,2503.89990234375,2525.699951171875,3966.0,yfinance
2024-08-30,2519.5,2525.39990234375,2493.800048828125,2493.800048828125,208.0,yfinance
2024-09-03,2501.60009765625,2501.800048828125,2476.300048828125,2489.89990234375,206.0,yfinance
2024-09-04,2490.89990234375,2493.39990234375,2483.5,2493.39990234375,470.0,yfinance
2024-09-05,2493.699951171875,2513.300048828125,2493.39990234375,2511.39990234375,54.0,yfinance
2024-09-06,2510.300048828125,2517.89990234375,2483.699951171875,2493.5,96.0,yfinance
2024-09-09,2491.300048828125,2504.699951171875,2491.300048828125,2501.800048828125,96.0,yfinance
2024-09-10,2512.300048828125,2512.300048828125,2512.300048828125,2512.300048828125,5.0,yfinance
2024-09-11,2525.800048828125,2525.800048828125,2502.300048828125,2512.10009765625,90.0,yfinance
2024-09-12,2529.10009765625,2557.0,2523.39990234375,2551.199951171875,132.0,yfinance
2024-09-13,2568.800048828125,2581.800048828125,2565.0,2581.300048828125,31.0,yfinance
2024-09-16,2580.39990234375,2580.39990234375,2580.39990234375,2580.39990234375,28.0,yfinance
2024-09-17,2581.199951171875,2581.800048828125,2564.300048828125,2564.300048828125,22.0,yfinance
2024-09-18,2570.699951171875,2570.699951171875,2549.199951171875,2570.699951171875,25.0,yfinance
2024-09-19,2566.0,2588.0,2566.0,2588.0,99.0,yfinance
2024-09-20,2590.39990234375,2621.800048828125,2590.39990234375,2619.89990234375,17.0,yfinance
2024-09-23,2626.5,2626.5,2626.5,2626.5,9.0,yfinance
2024-09-24,2636.800048828125,2662.300048828125,2625.5,2651.199951171875,35.0,yfinance
2024-09-25,2656.300048828125,2664.199951171875,2649.300048828125,2659.199951171875,175.0,yfinance
2024-09-26,2662.300048828125,2669.89990234375,2660.800048828125,2669.89990234375,17216.0,yfinance
2024-09-27,2670.0,2672.10009765625,2641.699951171875,2644.300048828125,4228.0,yfinance
2024-09-30,2660.89990234375,2662.10009765625,2623.199951171875,2636.10009765625,973.0,yfinance
2024-10-01,2631.39990234375,2670.89990234375,2631.39990234375,2667.300048828125,153.0,yfinance
2024-10-02,2650.60009765625,2657.199951171875,2640.0,2647.10009765625,72.0,yfinance
2024-10-03,2642.800048828125,2657.10009765625,2640.0,2657.10009765625,354.0,yfinance
2024-10-04,2656.0,2667.0,2639.0,2645.800048828125,114.0,yfinance
2024-10-07,2648.699951171875,2657.39990234375,2639.0,2644.800048828125,284.0,yfinance
2024-10-08,2639.0,2639.0,2609.300048828125,2615.0,687.0,yfinance
2024-10-09,2603.0,2607.699951171875,2603.0,2606.0,152.0,yfinance
2024-10-10,2602.5,2628.300048828125,2602.5,2620.60009765625,320.0,yfinance
2024-10-11,2638.300048828125,2658.10009765625,2638.199951171875,2657.60009765625,12.0,yfinance
2024-10-14,2655.0,2655.300048828125,2647.800048828125,2647.800048828125,40.0,yfinance
2024-10-15,2661.39990234375,2661.39990234375,2661.39990234375,2661.39990234375,39.0,yfinance
2024-10-16,2674.0,2674.0,2674.0,2674.0,6.0,yfinance
2024-10-17,2677.39990234375,2691.699951171875,2677.199951171875,2691.0,30.0,yfinance
2024-10-18,2713.699951171875,2719.60009765625,2713.699951171875,2713.699951171875,29.0,yfinance
2024-10-21,2721.89990234375,2738.39990234375,2719.5,2723.10009765625,52.0,yfinance
2024-10-22,2731.699951171875,2746.0,2728.60009765625,2744.199951171875,93.0,yfinance
2024-10-23,2742.5,2742.5,2714.199951171875,2714.39990234375,18.0,yfinance
2024-10-24,2729.0,2736.10009765625,2729.0,2734.89990234375,27.0,yfinance
2024-10-25,2725.5,2742.39990234375,2725.5,2740.89990234375,29.0,yfinance
2024-10-28,2736.10009765625,2742.89990234375,2729.5,2742.89990234375,56.0,yfinance
2024-10-29,2768.39990234375,2768.39990234375,2768.39990234375,2768.39990234375,848.0,yfinance
2024-10-30,2774.60009765625,2789.0,2774.60009765625,2788.5,231.0,yfinance
2024-10-31,2787.39990234375,2787.5,2733.5,2738.300048828125,849.0,yfinance
2024-11-01,2745.5,2756.0,2734.199951171875,2738.60009765625,109.0,yfinance
2024-11-04,2736.5,2737.10009765625,2736.10009765625,2736.10009765625,16.0,yfinance
2024-11-05,2743.0,2743.89990234375,2740.300048828125,2740.300048828125,23.0,yfinance
2024-11-06,2734.5,2734.5,2659.39990234375,2667.60009765625,427.0,yfinance
2024-11-07,2662.5,2699.10009765625,2662.5,2698.39990234375,676.0,yfinance
2024-11-08,2688.5,2694.60009765625,2682.89990234375,2687.5,1038.0,yfinance
2024-11-11,2671.699951171875,2671.699951171875,2611.199951171875,2611.199951171875,20.0,yfinance
2024-11-12,2605.5,2605.5,2592.800048828125,2600.0,118.0,yfinance
2024-11-13,2611.10009765625,2611.800048828125,2580.800048828125,2580.800048828125,53.0,yfinance
2024-11-14,2555.10009765625,2576.199951171875,2554.199951171875,2568.199951171875,27.0,yfinance
2024-11-15,2565.699951171875,2565.699951171875,2565.699951171875,2565.699951171875,20.0,yfinance
2024-11-18,2591.699951171875,2610.699951171875,2589.39990234375,2610.60009765625,136.0,yfinance
2024-11-19,2621.89990234375,2627.699951171875,2619.300048828125,2627.10009765625,87.0,yfinance
2024-11-20,2638.5,2648.199951171875,2638.5,2648.199951171875,27.0,yfinance
2024-11-21,2659.300048828125,2672.10009765625,2655.699951171875,2672.10009765625,33.0,yfinance
2024-11-22,2687.5,2710.5,2685.60009765625,2709.89990234375,41.0,yfinance
2024-11-25,2689.39990234375,2689.39990234375,2616.800048828125,2616.800048828125,94.0,yfinance
2024-11-26,2625.60009765625,2625.60009765625,2620.300048828125,2620.300048828125,177858.0,yfinance
2024-11-27,2633.5,2657.89990234375,2627.199951171875,2639.89990234375,61653.0,yfinance
2024-11-29,2636.39990234375,2664.300048828125,2620.699951171875,2657.0,3861.0,yfinance
